protoform;DoT;Type;id
Most calls in mania are spectrum_low compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Most calls in mania are loudness_low compared to the state of euthymia.;0.041004441752943904;1.0;only spectralflux - Quartiles
Most calls in mania are tone_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are quality_low compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are spectrum_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are loudness_low compared to the state of euthymia.;0.17539733494823362;1.0;only spectralflux - Quartiles
Minority of calls in mania are tone_low compared to the state of euthymia.;0.4437083348926958;1.0;only spectralflux - Quartiles
Minority of calls in mania are quality_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are spectrum_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are loudness_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are tone_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are quality_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are spectrum_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are loudness_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are tone_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are quality_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Most calls in mania are spectrum_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are loudness_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are tone_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in mania are quality_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are spectrum_high compared to the state of euthymia.;0.8312958534477821;1.0;only spectralflux - Quartiles
Minority of calls in mania are loudness_high compared to the state of euthymia.;0.6273858015341649;1.0;only spectralflux - Quartiles
Minority of calls in mania are tone_high compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in mania are quality_high compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
